,id,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
38,19,145733,0.01520139,0.23452934,0.75524409,0.73455836,0.26544164,0.19682661,0.03214187,0.00163183,0.01238629,0.02347927,115208,-0.52071475,White
39,20,143797,0.00171487,0.12228159,0.86837959,0.82177646,0.17822354,0.0242511,0.11252362,0.00163264,0.00781465,0.03534019,109026,-0.7460979999999999,White
40,21,146782,0.0225089,0.24623417,0.74183535,0.72828729,0.27171271,0.20397611,0.02752625,0.00132126,0.01430484,0.02282256,113528,-0.49560118,White
41,22,140649,-0.02021464,0.2635783,0.72739667,0.68799993,0.31200007,0.25735472,0.02539702,0.00077206,0.01057536,0.01902308,111391,-0.46381837,White
42,23,144725,0.00817948,0.26836077,0.71390753,0.77288133,0.22711867,0.11299003,0.05657507,0.00106745,0.03279753,0.02246991,112417,-0.44554675999999993,White
43,24,145606,0.01431668,0.25109028,0.73699825,0.74738153,0.25261847,0.15188021,0.06637997,0.00098193,0.01063752,0.02400262,109988,-0.48590796999999997,White
44,25,136607,-0.04837192,0.20329141,0.7871759,0.79171581,0.20828419,0.14192505,0.03669393,0.00063725,0.01013886,0.01902226,105140,-0.58388449,White
45,26,137840,-0.03978262,0.27587445,0.71577867,0.70964062,0.29035938,0.2370415,0.02071876,0.00079759,0.00891259,0.0214607,107825,-0.43990421999999996,White
46,27,138848,-0.03276072,0.19296177,0.7976353,0.7952164,0.2047836,0.13380438,0.03174925,0.00067336,0.00961148,0.02902815,108412,-0.60467353,White
47,28,137044,-0.0453277,0.23559294,0.75195963,0.74354459,0.25645541,0.1353894,0.07269988,0.00100763,0.00956776,0.03759299,106190,-0.51636669,White
48,29,138131,-0.03775547,0.17847857,0.81206234,0.80781974,0.19218026,0.09458705,0.05226812,0.00069803,0.00599371,0.04048545,107446,-0.63358377,White
49,30,145009,0.01015788,0.09156373,0.89985963,0.91342611,0.08657389,0.01436713,0.03042191,0.00095427,0.00605257,0.03079302,113175,-0.8082959000000001,White
50,31,143217,-0.00232551,0.19324469,0.79757481,0.83597733,0.16402267,0.10329825,0.02265266,0.00072958,0.00876389,0.02584681,112393,-0.60433012,White
51,32,144846,0.00902239,0.59728992,0.38511406,0.45311929,0.54688071,0.4674191,0.05153773,0.00082183,0.01422675,0.0171762,109512,0.21217586000000005,Black
