,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,PopDensity
505,5,352904,0.53142189,0.44690586,0.3563491,0.6436509,0.02128639,0.58443122,0.00212827,0.01699303,0.04102628,271582,0.08451602999999996,Hispanic,43816.26775660924
506,6,352627,0.56045807,0.41607275,0.29310008,0.70689992,0.01028902,0.27802153,0.0017355,0.0153415,0.41952849,266206,0.14438532000000004,Native,48567.07612761033
507,1,387516,0.6650192,0.31301564,0.22544628,0.77455372,0.16239365,0.53687632,0.01005702,0.06621077,0.03454413,281495,0.35200356000000005,Hispanic,22308483.53213886
508,2,388341,0.53900184,0.43127123,0.59976347,0.40023653,0.03748378,0.24497792,0.01202285,0.0800781,0.03825692,305252,0.10773060999999995,White,4757689.007519651
509,3,388004,0.62659918,0.3510709,0.31933374,0.68066626,0.23012953,0.34321804,0.01820085,0.09310143,0.03012745,289437,0.27552828,Hispanic,16214515.616480185
510,4,387729,0.54031183,0.44026249,0.46988299,0.53011701,0.12558483,0.20964384,0.01516484,0.17808294,0.02360112,312697,0.10004934000000004,Minority,23618912.76090793
511,5,388122,0.54756402,0.43145993,0.46619074,0.53380926,0.12774069,0.2566857,0.0202511,0.12824625,0.028604,310551,0.11610409000000005,Minority,19430925.687577937
512,6,388321,0.48550822,0.4963861,0.50734424,0.49265576,0.09304362,0.15309264,0.02127617,0.22528957,0.02190058,302686,-0.010877880000000006,White,652229.7862824268
513,7,388324,0.40327412,0.57617823,0.64313268,0.35686732,0.08594679,0.15216686,0.0123755,0.09053517,0.03011284,305119,-0.17290411,White,35171.842346438425
514,8,388257,0.33662564,0.63546237,0.73566185,0.26433815,0.01875272,0.15064573,0.00589698,0.03909974,0.05187053,306089,-0.29883673000000005,White,21397.98391645473
515,1,380003,0.62402443,0.36009766,0.59864148,0.40135852,0.31907047,0.03636108,0.00123928,0.030647,0.01610391,298561,0.26392677,White,13396349.384854432
516,2,380170,0.25683594,0.72967512,0.92644409,0.07355591,0.02200535,0.01319303,0.00072955,0.00910414,0.023495,294701,-0.47283918,White,460497.66480051726
517,3,380440,0.75908164,0.22602077,0.35825671,0.64174329,0.51543859,0.07240979,0.00147833,0.04245389,0.02242854,280045,0.53306087,Black,10279247.619576465
518,4,380356,0.26777893,0.71632843,0.89955258,0.10044742,0.05155822,0.01711072,0.00094141,0.00732208,0.0187101,296364,-0.4485495,White,458214.2140457903
519,5,381040,0.28319204,0.70001184,0.89398306,0.10601694,0.02157432,0.05403921,0.00080018,0.00885961,0.0178718,294934,-0.4168198000000001,White,360826.18748061254
520,6,380475,0.28765203,0.69878377,0.92313417,0.07686583,0.02686897,0.01726984,0.00059209,0.0065196,0.01969774,302319,-0.41113174,White,519803.98828665743
521,7,380805,0.48132764,0.50746176,0.86670995,0.13329005,0.03854291,0.03725416,0.00089469,0.0403323,0.01293915,309603,-0.026134119999999983,White,7056754.537622405
522,8,381129,0.349068,0.63663425,0.80445571,0.19554429,0.08201561,0.0443802,0.00168024,0.04564208,0.0206323,294005,-0.28756624999999997,White,2591559.866425224
523,9,380476,0.49082828,0.49166516,0.74910595,0.25089405,0.15846717,0.06115116,0.00079247,0.01055396,0.02069489,297803,-0.0008368799999999843,White,1207028.270699999
