,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,R_Margin,R_Margin2,R_Swing,Majority
27,7,759862,0.60293983,0.36267954,0.34170223,0.65829777,0.13074145,0.23353501,0.02412301,0.26959657,0.03452149,573353,0.24026029,0.64732295,0.32946163,0.31786132,-0.07760103,0.24191316457471257,0.2654647234252873,-0.02355155885057473,Minority
28,8,759707,0.70180308,0.26550268,0.28066928,0.71933072,0.17219144,0.3079991,0.01525448,0.22478141,0.03556609,589466,0.4363004,0.75734589,0.22149856,0.53584733,-0.09954693,0.43795327457471267,0.4834507334252873,-0.045497458850574636,Hispanic
29,9,760048,0.48727496,0.48201998,0.30683835,0.69316165,0.09190794,0.38310432,0.01295264,0.20480619,0.03803044,560735,0.00525498,0.56702565,0.41141401,0.15561164,-0.15035666,0.006907854574712609,0.10321504342528741,-0.09630718885057479,Hispanic
30,10,760371,0.64603657,0.32075846,0.51611959,0.48388041,0.06362911,0.17770947,0.00961406,0.22487436,0.02372625,587577,0.32527811,0.67954801,0.29954548,0.38000253,-0.05472442,0.32693098457471265,0.3276059334252874,-0.0006749488505747095,White
31,11,760790,0.81831523,0.14067656,0.44652805,0.55347195,0.06511426,0.13312876,0.00691701,0.34146253,0.01938205,665461,0.67763867,0.86283663,0.11734933,0.7454873,-0.06784863,0.6792915445747125,0.6930907034252873,-0.01379915885057479,Minority
32,12,759576,0.84420333,0.10766454,0.35135767,0.64864233,0.17913726,0.20998915,0.00930198,0.24900848,0.0303797,620513,0.73653879,0.89194823,0.08727959,0.80466864,-0.06812985,0.7381916645747126,0.7522720434252874,-0.014080378850574761,Minority
33,13,760308,0.47354895,0.49932107,0.28132285,0.71867715,0.0422762,0.58598394,0.00915207,0.07183967,0.0509183,549056,-0.02577212,0.54979791,0.42687053,0.12292738,-0.1486995,-0.02411924542528731,0.07053078342528733,-0.09465002885057464,Hispanic
34,14,760504,0.6595782,0.30212069,0.28011655,0.71988345,0.06783372,0.23675643,0.01964623,0.39808698,0.02617241,591004,0.35745751,0.7196662,0.25952542,0.46014078,-0.10268327,0.3591103845747126,0.4077441834252874,-0.04863379885057476,Asian
35,15,760488,0.7229354,0.24188397,0.30559795,0.69440205,0.03711858,0.24310523,0.01745436,0.39509927,0.02138064,609991,0.48105143,0.77837882,0.20265977,0.57571905,-0.09466762,0.48270430457471264,0.5233224534252874,-0.04061814885057472,Asian
36,16,760306,0.75066221,0.21162333,0.56534641,0.43465359,0.02727701,0.15300889,0.00705052,0.23272589,0.02202128,613997,0.53903888,0.77869379,0.19767761,0.58101618,-0.0419773,0.5406917545747126,0.5286195834252874,0.012072171149425291,White
