,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
76,6,577122,0.70191823,0.28786989,0.18619263,0.81380737,0.56549112,0.13849792,0.00050958,0.09366991,0.0101891,398367,0.20191823,Black
77,7,576607,0.51438956,0.46482551,0.32444304,0.67555696,0.08039249,0.15429596,0.00127192,0.42863334,0.00684078,355369,0.01438956,Asian
78,8,577053,0.57122166,0.40586167,0.41375763,0.58624237,0.0573747,0.23287465,0.0008277,0.28679072,0.00721581,338285,0.07122166,Minority
79,9,576900,0.70842815,0.26349574,0.34599452,0.65400548,0.13554289,0.35718753,0.00072963,0.15047493,0.00576221,374162,0.20842815,Hispanic
80,10,577234,0.66377737,0.32659491,0.28686794,0.71313206,0.49049255,0.13712158,0.00038183,0.07926962,0.00413189,366660,0.16377737,Black
81,11,577273,0.68802178,0.29217348,0.33342471,0.66657529,0.49114558,0.09767136,0.00060419,0.07261437,0.00560552,357505,0.18802178,Black
82,12,577176,0.87758784,0.09603398,0.41491428,0.58508572,0.35894301,0.14638215,0.00042601,0.07010188,0.00648164,415481,0.37758784,Minority
83,13,577358,0.47382266,0.50393857,0.51024869,0.48975131,0.03778818,0.16806203,0.00042961,0.27679026,0.00525495,290964,-0.02617734,White
84,14,577089,0.3707728,0.61067744,0.62322201,0.37677799,0.08704374,0.16675127,5.668e-05,0.11877889,0.00381226,405796,-0.1292272,White
85,15,576708,0.66480738,0.3132852,0.30296648,0.69703352,0.14935927,0.3805129,0.0010869,0.15863655,0.00593938,310975,0.16480738,Hispanic
86,16,577114,0.80212733,0.17710197,0.59430381,0.40569619,0.07321783,0.14334453,0.00033041,0.18181596,0.0048851,408589,0.30212733,White
87,17,577440,0.81019915,0.16949481,0.7286592,0.2713408,0.05578383,0.10353867,0.00058631,0.10561739,0.00376253,412754,0.31019915,White
88,18,577675,0.78869497,0.19508077,0.19552958,0.80447042,0.29688162,0.45559842,0.00017923,0.04446003,0.00615105,384975,0.28869497,Hispanic
89,19,577001,0.67447245,0.31153852,0.12842517,0.87157483,0.25664735,0.53617428,0.00198876,0.06977435,0.00732253,339910,0.17447245,Hispanic
90,20,577211,0.71734605,0.27166868,0.12598369,0.87401631,0.3161991,0.52823937,0.00036449,0.0225897,0.00633982,334710,0.21734605,Hispanic
91,21,577298,0.6875517,0.30567425,0.28668643,0.71331357,0.38139923,0.27875064,0.0002149,0.04611819,0.00623198,390887,0.1875517,Black
92,22,578070,0.53740295,0.45600851,0.74570473,0.25429527,0.05848362,0.15201161,0.00015187,0.03960059,0.00397043,414817,0.03740295,White
93,23,577201,0.54171228,0.45058093,0.65376718,0.34623282,0.11203102,0.15048667,0.00039324,0.07902529,0.00359722,378904,0.04171228,White
94,24,577154,0.50321918,0.49118691,0.66410437,0.33589563,0.12818435,0.16767772,0.00021751,0.03224388,0.00550464,418374,0.00321918,White
95,25,576610,0.52060979,0.47033186,0.84475524,0.15524476,0.05294457,0.07260112,0.00043502,0.02117043,0.00704738,459745,0.02060979,White
96,26,577526,0.55700124,0.4292654,0.76480524,0.23519476,0.11677957,0.06739243,0.00069431,0.04359456,0.00692083,449368,0.05700124,White
97,27,577398,0.48400146,0.51057236,0.91976777,0.08023223,0.0250919,0.02664681,0.00041813,0.01615882,0.01173583,459192,-0.01599854,White
98,28,576969,0.33406896,0.66160507,0.92273901,0.07726099,0.02756504,0.03122309,0.00090832,0.00948886,0.00698254,443678,-0.16593104,White
99,29,577859,0.51545175,0.47597898,0.85406857,0.14593143,0.05115957,0.04665427,0.00023974,0.04109276,0.00600254,442146,0.01545175,White
100,30,577236,0.56252005,0.43162269,0.82470661,0.17529339,0.09318504,0.0436227,0.00020521,0.0265129,0.01038353,438579,0.06252005,White
101,31,576652,0.52127382,0.4679783,0.89981178,0.10018822,0.03426199,0.03297978,0.00024667,0.02795981,0.00419997,450003,0.02127382,White
102,32,576738,0.53936522,0.45172864,0.70228907,0.29771093,0.17235728,0.09723477,0.0001047,0.01989307,0.00837603,439349,0.03936522,White
103,33,577734,0.33928015,0.65436635,0.92818482,0.07181518,0.02874855,0.02402381,0.0003012,0.00873695,0.00997096,444892,-0.16071985,White
104,34,576553,0.5303652,0.45693739,0.83938909,0.16061091,0.07762927,0.04371465,0.00014038,0.02993266,0.00934323,448774,0.0303652,White
105,35,577333,0.5265562,0.46009421,0.74754411,0.25245589,0.15580525,0.06046759,0.00041045,0.02745476,0.00878951,440980,0.0265562,White
106,1,604789,0.64938003,0.30927976,0.64753876,0.35246124,0.03101171,0.15310149,0.0108971,0.13507624,0.03012602,468565,0.14938003,White
107,2,605091,0.41360791,0.5518642,0.79445126,0.20554874,0.01025375,0.12139776,0.00523578,0.01898076,0.04599281,472900,-0.08639209,White
108,3,605197,0.84488279,0.11148066,0.70557753,0.29442247,0.06644806,0.09224476,0.00870252,0.09786823,0.03268347,505026,0.34488279,White
109,4,605623,0.5746526,0.38728811,0.81263375,0.18736625,0.01723077,0.07678717,0.00612345,0.03943937,0.04403599,495799,0.0746526,White
110,5,605711,0.53465576,0.4277753,0.74575797,0.25424203,0.0334742,0.10650113,0.00875535,0.07349319,0.03445126,471826,0.03465576,White
111,6,605347,0.48471718,0.47781853,0.71343922,0.28656078,0.01687675,0.18289631,0.01016922,0.03771948,0.04437787,467981,-0.01528282,White
112,7,605498,0.36899829,0.6000816,0.82320926,0.17679074,0.01081147,0.08135829,0.00535457,0.02089632,0.05220088,488555,-0.13100171,White
113,1,600799,0.62257673,0.36203662,0.47882271,0.52117729,0.22947553,0.24990218,0.00208392,0.04511045,0.01596111,470268,0.12257673,Minority
114,2,601107,0.53735987,0.44520732,0.79044188,0.20955812,0.05929736,0.08388482,0.00209585,0.04523603,0.02204104,490494,0.03735987,White
115,3,601075,0.58607123,0.39257297,0.63453563,0.36546437,0.14989555,0.15319293,0.00137339,0.05778348,0.01543931,484931,0.08607123,White
116,4,601333,0.63335936,0.35197701,0.52554232,0.47445768,0.16919301,0.23636866,0.00149997,0.06048247,0.01372014,467342,0.13335936,White
117,5,600902,0.50067832,0.48357912,0.77819859,0.22180141,0.04619344,0.10505329,0.00094629,0.04378028,0.0115747,474483,0.00067832,White
118,6,600728,0.53599731,0.446451,0.78544308,0.21455692,0.05921002,0.07770251,0.00097569,0.06282216,0.01450876,481709,0.03599731,White
