,id,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
38,2,600315,-0.00112425,0.55309978,0.42735694,0.80882659,0.19117341,0.04748211,0.07913685,0.00203276,0.04301453,0.02101948,489974,0.12574284000000002,White
39,3,601561,0.00094899,0.59124598,0.39570507,0.63418262,0.36581738,0.15056409,0.15392116,0.00137588,0.05661983,0.01572348,484053,0.19554090999999996,White
40,4,601333,0.00056962,0.67880253,0.30828123,0.52554232,0.47445768,0.16919301,0.23636866,0.00149997,0.06048247,0.01372014,467342,0.3705213,White
41,5,600071,-0.00153025,0.52428123,0.4576161,0.83332162,0.16667838,0.04071563,0.06505984,0.0009488,0.04156521,0.01473221,483770,0.06666513000000002,White
42,6,601455,0.00077261,0.54354426,0.44234131,0.68525899,0.31474101,0.0883544,0.16059356,0.00139416,0.04497922,0.01254955,466949,0.10120295000000001,White
43,1,495264,0.00058589,0.69539868,0.28995062,0.55924015,0.44075985,0.26509226,0.09963168,0.00119124,0.06921935,0.01681485,392867,0.40544806000000005,White
44,2,494684,-0.00058589,0.48486625,0.50143475,0.68987857,0.31012143,0.18995536,0.07362623,0.00150764,0.02734747,0.02309075,390676,-0.01656850000000004,White
45,1,581684,-0.00073498,0.35374773,0.6260664,0.70283893,0.29716107,0.1548065,0.06481994,0.00380029,0.04372941,0.03206143,460491,-0.27231867000000004,White
46,2,582099,-2.205e-05,0.25999752,0.72488036,0.76387838,0.23612162,0.11801854,0.06046068,0.00264268,0.02585009,0.02990407,461275,-0.46488284,White
47,3,581681,-0.00074013,0.56808651,0.41803633,0.52953992,0.47046008,0.33379184,0.08405465,0.00190004,0.04025351,0.01856733,459463,0.15005017999999998,White
48,4,582589,0.00081971,0.35852189,0.62754178,0.77708276,0.22291724,0.07534791,0.0758195,0.00225753,0.04891031,0.01854278,458022,-0.26901989000000004,White
49,5,582455,0.00058951,0.57417776,0.40950585,0.4679605,0.5320395,0.35776551,0.10432751,0.00281027,0.05889989,0.01838696,457607,0.16467190999999998,Minority
50,6,582403,0.00050018,0.26267767,0.72580883,0.76131201,0.23868799,0.11131906,0.07946652,0.00237029,0.02219355,0.02464841,461125,-0.46313116,White
51,7,581784,-0.00056319,0.5011146,0.4855855,0.64350495,0.35649505,0.15884219,0.13185142,0.00165757,0.04941954,0.01877454,474792,0.015529099999999962,White
52,8,582846,0.0012612,0.38258251,0.60728478,0.73625618,0.26374382,0.10247311,0.11926914,0.00171994,0.02216482,0.01937489,478506,-0.22470226999999998,White
53,9,582399,0.00049331,0.40938839,0.578209,0.74253831,0.25746169,0.10952611,0.10139885,0.00192759,0.02546116,0.02144499,484542,-0.16882060999999998,White
54,10,582560,0.00076989,0.41559095,0.570983,0.74471175,0.25528825,0.09410262,0.10716099,0.00192016,0.0338494,0.01871484,480688,-0.15539205,White
55,11,581417,-0.00119365,0.52289311,0.46252817,0.60995083,0.39004917,0.12037177,0.19808448,0.0021495,0.06184018,0.01776253,462434,0.060364940000000034,White
56,12,581761,-0.0006027,0.60061778,0.38440157,0.38806762,0.61193238,0.15540542,0.39661178,0.00297866,0.06445461,0.01953445,461953,0.21621620999999996,Hispanic
57,13,582741,0.00108083,0.58737352,0.40119462,0.30375851,0.69624149,0.13356209,0.51714256,0.00315306,0.05127514,0.01884935,449087,0.18617889999999998,Hispanic
58,14,582285,0.00029747,0.61372226,0.37435636,0.38172113,0.61827887,0.31105984,0.21443399,0.00255902,0.06565894,0.01649527,440793,0.23936589999999996,Minority
