id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
MT-2,361038,0.31674421,0.65857566,0.83096574,0.16903426,0.00885761,0.03502436,0.00231683,0.01089889,0.10845588,275808,-0.34183145,0.29781179,0.67079875,-0.37298696,-0.36760179,White
MT-3,362392,0.3768001,0.59907656,0.8475018,0.1524982,0.00941504,0.02967891,0.00257801,0.0132644,0.09103205,283164,-0.22227646,0.35446276,0.61563548,-0.26117272,-0.2532073,White
NC-1,387193,0.54671831,0.44421914,0.47099121,0.52900879,0.44967949,0.05258608,0.00122657,0.00857297,0.0246065,306545,0.10249917,0.5234026,0.46638376,0.05701884,0.06717895,Minority
NC-2,386438,0.66799324,0.31386346,0.44436747,0.55563253,0.35711528,0.14762387,0.00148551,0.04230775,0.02191041,290136,0.35412978,0.65615218,0.32495073,0.33120145,0.33384423,Minority
NC-3,386297,0.3665112,0.61957803,0.73771398,0.26228602,0.17633127,0.04596914,0.00210806,0.017851,0.02115127,311187,-0.25306683,0.35108064,0.63737037,-0.28628973,-0.28021543,White
NC-4,385825,0.75292655,0.2321665,0.46392319,0.53607681,0.34916168,0.12024305,0.00109501,0.05607291,0.02057447,307760,0.52076005,0.74527575,0.23600117,0.50927458,0.50810307,Minority
NC-5,386717,0.24901021,0.73998363,0.82607256,0.17392744,0.0814183,0.06513594,0.00066558,0.00709736,0.02105506,308002,-0.49097342,0.23857019,0.7513126,-0.51274241,-0.51048608,White
NC-6,387292,0.65511347,0.3310614,0.40903508,0.59096492,0.42921935,0.09359844,0.00137387,0.05793086,0.02201498,302067,0.32405207,0.63983484,0.34239922,0.29743562,0.30130777,Black
NC-7,387234,0.43851317,0.54624944,0.79985863,0.20014137,0.10597744,0.05324676,0.00157638,0.0168304,0.02117172,319719,-0.10773627,0.43032907,0.55710855,-0.12677948,-0.12543174,White
NC-8,386810,0.57037485,0.41166782,0.42258857,0.57741143,0.39951979,0.10767829,0.00684014,0.03870486,0.048453,291953,0.15870703,0.55442798,0.43108158,0.1233464,0.13013328,Minority
