id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Swing,Majority,Lean
CA-2,573015,0.66061264,0.30157922,0.64974124,0.35025876,0.02357572,0.21338828,0.00708011,0.05077846,0.06597373,459880,0.35903342,0.69432413,0.27770375,0.41662038,-0.05758696,White,0.373229073333333
CA-3,573482,0.47382885,0.49528676,0.72767334,0.27232666,0.02026751,0.12978397,0.00641265,0.0829073,0.03698699,450672,-0.02145791,0.48948941,0.48612386,0.00336555,-0.02482346,White,-0.0181834233333333
CA-4,573110,0.58361128,0.38493397,0.47212548,0.52787452,0.08848431,0.26598129,0.01311172,0.14681783,0.04060539,454250,0.19867731,0.61546336,0.35946102,0.25600234,-0.05732503,Minority,0.212785653333333
CA-5,572716,0.37822045,0.59588966,0.64741086,0.35258914,0.03014467,0.21358725,0.00850875,0.06996037,0.03910298,456001,-0.21766921,0.40257589,0.57518274,-0.17260685,-0.04506236,White,-0.207648423333333
CA-6,572493,0.5679782,0.39670997,0.60988353,0.39011647,0.07659798,0.15889106,0.01099,0.12376615,0.0347533,454777,0.17126823,0.57902233,0.39326506,0.18575727,-0.01448904,White,0.17109791
CA-7,573103,0.639837,0.32470117,0.28087588,0.71912412,0.14419418,0.23972428,0.02746998,0.31209282,0.03340943,431016,0.31513583,0.69075557,0.28703284,0.40372273,-0.08858690,Asian,0.339664796666667
CA-8,573352,0.72758904,0.23911987,0.27148879,0.72851121,0.16725318,0.31272022,0.01363893,0.23387685,0.03460834,448129,0.48846917,0.78480769,0.1952495,0.58955819,-0.10108902,Hispanic,0.51716551
CA-9,572548,0.5167155,0.45316662,0.26748359,0.73251641,0.10439327,0.40897506,0.01331583,0.21001551,0.03950841,419050,0.06354888,0.60177433,0.37627845,0.22549588,-0.16194700,Hispanic,0.112531213333333
CA-10,572952,0.67626944,0.28924722,0.5545425,0.4454575,0.03690637,0.13855056,0.00766019,0.25273714,0.01932957,446725,0.38702222,0.7028487,0.27612133,0.42672737,-0.03970515,White,0.39525727
CA-11,573216,0.84006803,0.11950565,0.48941892,0.51058108,0.05939232,0.13184302,0.00603314,0.30471964,0.0198793,509022,0.72056238,0.88094781,0.09944653,0.78150128,-0.06093890,Minority,0.735875346666667
CA-12,572695,0.86735512,0.08059601,0.37370366,0.62629634,0.19331955,0.19861371,0.00821167,0.22405995,0.0307066,473351,0.78675911,0.91573631,0.063416,0.85232031,-0.06556120,Minority,0.803612843333333
CA-13,573159,0.48139842,0.4909774,0.31115133,0.68884867,0.04459126,0.5409107,0.01047394,0.08291805,0.04907003,412166,-0.00957898,0.5531459,0.42229072,0.13085518,-0.14043416,Hispanic,0.0322324066666666
CA-14,572295,0.58757138,0.37748861,0.40051197,0.59948803,0.09161507,0.23465823,0.01275046,0.25491361,0.0298124,429318,0.21008277,0.64025058,0.33767895,0.30257163,-0.09248886,Minority,0.23591239
CA-15,572333,0.70950013,0.25076872,0.22601829,0.77398171,0.05498176,0.20269782,0.01460119,0.50405201,0.0198002,472975,0.45873141,0.7798362,0.20115013,0.57868607,-0.11995466,Asian,0.493716296666667
CA-16,573207,0.76202362,0.2049928,0.48125656,0.51874344,0.0312971,0.208355,0.01489383,0.25467154,0.02025288,453812,0.55703082,0.79564342,0.18434775,0.61129567,-0.05426485,Minority,0.570119103333333
CA-17,572327,0.63265227,0.3249921,0.16680137,0.83319863,0.03045025,0.15940751,0.00948101,0.63597366,0.01726121,450374,0.30766017,0.70320522,0.27947156,0.42373366,-0.11607349,Asian,0.341351333333333
CA-18,572760,0.62894956,0.34107039,0.30339686,0.69660314,0.03037068,0.57290198,0.00889006,0.08273464,0.04783854,429131,0.28787917,0.6953435,0.28343538,0.41190812,-0.12402895,Hispanic,0.324222153333333
CA-19,573207,0.52798946,0.44212375,0.53705122,0.46294878,0.02558989,0.35363451,0.00508433,0.06150781,0.04158219,451780,0.08586571,0.55135131,0.42407072,0.12728059,-0.04141488,White,0.09467067
CA-20,572649,0.32799705,0.6489021,0.49161219,0.50838781,0.04809198,0.36583879,0.00472958,0.06351629,0.04668398,423293,-0.32090505,0.3567291,0.62004056,-0.26331146,-0.05759359,Minority,-0.306707186666667
CA-21,573695,0.54603381,0.42601228,0.25135121,0.74864879,0.07995877,0.51382154,0.00464211,0.14397598,0.0446154,410374,0.12002153,0.6143273,0.36387075,0.25045655,-0.13043502,Hispanic,0.15849987
CA-22,573174,0.48106526,0.49101046,0.1554322,0.8445678,0.06386056,0.72013517,0.00340303,0.05216949,0.03916351,419038,-0.00994520,0.58807004,0.38813118,0.19993886,-0.20988406,Hispanic,0.0550161533333333
CA-23,573209,0.36667397,0.60761299,0.53026628,0.46973372,0.06602716,0.32103938,0.00703594,0.05469339,0.0440786,435336,-0.24093902,0.39078507,0.58625555,-0.19547048,-0.04546854,White,-0.23078284
CA-24,572601,0.66638163,0.30233421,0.41933099,0.58066901,0.02734637,0.45579947,0.00517394,0.08330928,0.04064095,450334,0.36404742,0.70364272,0.27431181,0.42933091,-0.06528349,Hispanic,0.380808583333333
CA-25,572974,0.52299755,0.45481239,0.25439638,0.74560362,0.04316112,0.65377628,0.00325666,0.03950943,0.03863211,435415,0.06818516,0.59636003,0.385247,0.21111303,-0.14292787,Hispanic,0.110827783333333
CA-26,572761,0.54638546,0.42571606,0.61572199,0.38427801,0.02382193,0.23074392,0.00432845,0.11131404,0.02456837,452818,0.12066940,0.57525239,0.40459247,0.17065992,-0.04999052,White,0.132332906666667
