id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority
AK-1,183592,0.53685011,0.42342886,0.51953866,0.48046134,0.08111356,0.08178828,0.04888883,0.13323541,0.15659746,142282,0.11342125,White
AK-2,183723,0.378669,0.5841632,0.72337181,0.27662819,0.03035857,0.06010855,0.01009566,0.0732329,0.10282535,139664,-0.2054942,White
AK-3,182905,0.28610821,0.67848713,0.73609693,0.26390307,0.03865785,0.05505748,0.00937967,0.03823621,0.12059681,135186,-0.39237892,White
AK-4,183171,0.48705569,0.46119397,0.48308261,0.51691739,0.01941975,0.04358849,0.01132453,0.06614257,0.38570625,136871,0.02586172,Minority
AL-1,201641,0.62394571,0.35977355,0.39519388,0.60480612,0.54556494,0.02775083,0.00115013,0.01803579,0.01680213,155635,0.26417216,Black
AL-2,201524,0.24529685,0.74402809,0.73309787,0.26690213,0.16133232,0.02995656,0.00133412,0.03072352,0.04155119,155158,-0.49873124,White
AL-3,201141,0.20455096,0.78281369,0.83617393,0.16382607,0.06719131,0.04874898,0.00119714,0.01287245,0.02807619,158711,-0.57826273,White
AL-4,200495,0.19969331,0.79177883,0.73178349,0.26821651,0.18933044,0.03060981,0.00155501,0.01254976,0.0362814,154983,-0.59208552,White
AL-5,200333,0.22873171,0.76122241,0.6981599,0.3018401,0.22361509,0.03843898,0.00181754,0.01535239,0.0248719,155155,-0.5324907,White
AL-6,201388,0.55029155,0.43904883,0.41588829,0.58411171,0.51849386,0.03555463,0.00176283,0.01810388,0.01571962,157701,0.11124272,Black
AL-7,200355,0.62234069,0.36338561,0.36456999,0.63543001,0.55774307,0.0341474,0.00119804,0.03595408,0.01233919,156088,0.25895508,Black
AL-8,200026,0.52318005,0.47027291,0.41823009,0.58176991,0.55406658,0.01451217,0.00082564,0.00501099,0.01185743,157454,0.05290714,Black
AL-9,200512,0.35610184,0.62689687,0.63572715,0.36427285,0.25045031,0.04349099,0.00138754,0.05182257,0.01960372,157113,-0.27079503,White
AL-10,200533,0.21996356,0.77113332,0.74022506,0.25977494,0.20784136,0.02229233,0.00073048,0.00767007,0.02072431,158799,-0.55116976,White
AL-11,200448,0.2938624,0.69639844,0.67556608,0.32443392,0.26331763,0.02785054,0.00141047,0.01117674,0.0213397,158812,-0.40253604,White
AL-12,200405,0.29313869,0.68946959,0.74815072,0.25184928,0.13390917,0.06528089,0.00127333,0.02653636,0.02456074,152357,-0.3963309,White
AL-13,200999,0.22865532,0.75996955,0.76037877,0.23962123,0.15954244,0.04500955,0.00109939,0.0134937,0.02167369,152812,-0.53131423,White
AL-14,201877,0.26733227,0.71259155,0.82825693,0.17174307,0.09338654,0.02847284,0.00051407,0.02637159,0.01981725,155622,-0.44525928,White
AL-15,201592,0.71191606,0.26780017,0.41412727,0.58587273,0.49356152,0.05670165,0.00155816,0.0230493,0.01611361,157879,0.44411589,Black
AL-16,201636,0.65878426,0.32278051,0.36849606,0.63150394,0.54722942,0.04328497,0.00096483,0.02993498,0.01509677,158577,0.33600375,Black
AL-17,201877,0.64165895,0.34638352,0.4161142,0.5838858,0.50335197,0.05257294,0.00102756,0.01631104,0.01377927,161547,0.29527543,Black
AL-18,200869,0.17568144,0.81552358,0.84616068,0.15383932,0.09507331,0.0226619,0.00076831,0.00780372,0.02550654,157489,-0.63984214,White
AL-19,200671,0.15809966,0.83309221,0.82455995,0.17544005,0.09234358,0.04447659,0.00082211,0.00801713,0.02893942,156914,-0.67499255,White
AL-20,201278,0.10402852,0.88717601,0.88436246,0.11563754,0.03163608,0.04808557,0.00085468,0.00510897,0.02885517,156783,-0.78314749,White
AL-21,200731,0.23670059,0.7515666,0.74931627,0.25068373,0.13999962,0.05712584,0.00091591,0.0092936,0.04306055,156129,-0.51486601,White
AL-22,200967,0.13063554,0.86010608,0.81869651,0.18130349,0.02542495,0.10418987,0.00114019,0.00672975,0.05082369,152606,-0.72947054,White
AL-23,201094,0.33467996,0.64572315,0.77496718,0.22503282,0.12050207,0.03661106,0.00174186,0.02758797,0.03721943,156155,-0.31104319,White
AL-24,200475,0.26027727,0.7242629,0.79202428,0.20797572,0.1223207,0.04057846,0.00121519,0.01683452,0.0271032,157177,-0.46398563,White
AL-25,201412,0.56096204,0.41513172,0.51997367,0.48002633,0.35081186,0.06808977,0.00292772,0.04152718,0.02599837,159510,0.14583032,White
AR-1,201095,0.52782051,0.45445619,0.42374735,0.57625265,0.52684349,0.02635752,0.00116377,0.00856843,0.01585799,156388,0.07336432,Black
AR-2,201448,0.70900327,0.26912727,0.34317776,0.65682224,0.52071631,0.10567336,0.00148579,0.01694319,0.02645744,153454,0.439876,Black
AR-3,200842,0.52952395,0.44284881,0.69867635,0.30132365,0.19220344,0.03844574,0.00096667,0.0438351,0.02505133,158275,0.08667514,White
AR-4,200390,0.3003477,0.67515802,0.78356876,0.21643124,0.10009451,0.05731709,0.00132061,0.01584733,0.03853076,154474,-0.37481032,White
AR-5,200185,0.20864115,0.77084461,0.82754056,0.17245944,0.08738894,0.03390043,0.00135022,0.01205978,0.03249093,151827,-0.56220346,White
AR-6,200465,0.28414052,0.69473437,0.73524336,0.26475664,0.18644908,0.0400365,0.00087941,0.01356811,0.0221705,151237,-0.41059385,White
AR-7,201546,0.18944088,0.79185884,0.90778773,0.09221227,0.01351343,0.02813493,0.004012,0.00713881,0.03236345,157029,-0.60241796,White
AR-8,200349,0.19708616,0.78460048,0.88155367,0.11844633,0.00888836,0.0461552,0.00368511,0.0112758,0.04323861,158747,-0.58751432,White
AR-9,200137,0.24399799,0.73372773,0.77744057,0.22255943,0.04115923,0.08797786,0.00131553,0.03447086,0.05663302,153550,-0.48972974,White
AR-10,200485,0.30081697,0.67665948,0.80779146,0.19220854,0.08579582,0.0529755,0.00108375,0.01440298,0.03464794,155940,-0.37584251,White
AR-11,201136,0.23094222,0.75321271,0.70824925,0.29175075,0.17925334,0.06641959,0.00196626,0.00744463,0.03622064,154608,-0.52227049,White
AR-12,201225,0.28409106,0.69858457,0.69718629,0.30281371,0.23507546,0.03561614,0.00129432,0.00687329,0.02355919,156839,-0.41449351,White
AR-13,200075,0.29183351,0.68109932,0.74528991,0.25471009,0.02752048,0.12312886,0.01197533,0.02591305,0.06722391,149307,-0.38926581,White
AR-14,200697,0.33258839,0.64151498,0.77703643,0.22296357,0.02055673,0.10239198,0.00403841,0.04204541,0.05372169,148078,-0.30892659,White
AR-15,201449,0.55653179,0.41001927,0.61209022,0.38790978,0.04761998,0.21378836,0.03087464,0.05740886,0.04482691,152520,0.14651252,White
AZ-1,197893,0.48305197,0.5069974,0.36257234,0.63742766,0.00950843,0.09329211,0.0020385,0.00849603,0.53191824,146186,-0.02394543,Native
AZ-2,199165,0.55401055,0.43345992,0.62593566,0.37406434,0.02003916,0.13776459,0.00386036,0.02709686,0.19073762,161384,0.12055063,White
AZ-3,198805,0.39821771,0.59233857,0.34172602,0.65827398,0.02731257,0.59250633,0.00320179,0.01953295,0.03101779,148979,-0.19412086,Hispanic
AZ-4,198268,0.59484825,0.3965655,0.34170792,0.65829208,0.02049896,0.5544815,0.00241011,0.01361386,0.09389656,153520,0.19828275,Hispanic
AZ-5,198010,0.58736428,0.4003136,0.33499457,0.66500543,0.06766024,0.54234791,0.00394487,0.03074416,0.05112032,147280,0.18705068,Hispanic
AZ-6,197764,0.73184728,0.25213422,0.55032345,0.44967655,0.05823339,0.30513339,0.00414928,0.05435913,0.0483385,167258,0.47971306,White
AZ-7,197954,0.35042497,0.63813546,0.60414293,0.39585707,0.04207762,0.29406525,0.00537022,0.02901882,0.03597391,152694,-0.28771049,White
AZ-8,198612,0.53806002,0.45031158,0.70327385,0.29672615,0.05100493,0.17292158,0.00451864,0.04855992,0.02783607,161553,0.08774844,White
AZ-9,198925,0.54642522,0.44242377,0.68557811,0.31442189,0.02791017,0.20919134,0.0029321,0.05545843,0.02589819,163023,0.10400145,White
AZ-10,198423,0.21808801,0.77556464,0.78140734,0.21859266,0.0154253,0.13940259,0.00451443,0.01988526,0.04094452,165248,-0.55747663,White
AZ-11,198164,0.28705275,0.70412554,0.82018044,0.17981956,0.01048187,0.10846478,0.00324968,0.01836879,0.03574646,166478,-0.41707279,White
AZ-12,199574,0.34641714,0.64671514,0.85225646,0.14774354,0.01785121,0.06559535,0.00240351,0.03767717,0.02036946,165591,-0.300298,White
AZ-13,198560,0.33236779,0.65983971,0.60850043,0.39149957,0.04877756,0.28125375,0.00456998,0.02187729,0.04685897,150110,-0.32747192,White
AZ-14,198066,0.41244554,0.57854918,0.618176,0.381824,0.0369408,0.2827584,0.0083968,0.0281664,0.0423616,156250,-0.16610364,White
AZ-15,198631,0.33883937,0.65158133,0.66556546,0.33443454,0.05557103,0.21844982,0.00452423,0.02266094,0.03722868,150744,-0.31274196,White
AZ-16,197807,0.3884609,0.60129011,0.73618746,0.26381254,0.03488234,0.16282381,0.00524026,0.03940413,0.02796783,151710,-0.21282921,White
AZ-17,198577,0.54446389,0.4394358,0.48402101,0.51597899,0.07214938,0.35886229,0.00740473,0.03819319,0.06163706,149634,0.10502809,Minority
AZ-18,198758,0.38759748,0.60176883,0.75314516,0.24685484,0.03356329,0.15012071,0.00505137,0.03359514,0.02903425,156987,-0.21417135,White
AZ-19,199397,0.42391404,0.56414821,0.68254672,0.31745328,0.04948259,0.15658637,0.00572818,0.0873426,0.02544087,144374,-0.14023417,White
AZ-20,199324,0.385019,0.60498019,0.71967416,0.28032584,0.04426528,0.12388132,0.00461097,0.09170236,0.0198062,143137,-0.21996119,White
AZ-21,198218,0.53638389,0.44905175,0.54774712,0.45225288,0.07383345,0.23121285,0.00528697,0.11819401,0.0376861,152072,0.08733214,White
AZ-22,197664,0.55304712,0.43461318,0.53912348,0.46087652,0.10574223,0.20217383,0.00583762,0.06733753,0.09946125,148862,0.11843394,White
AZ-23,199146,0.63107203,0.35282221,0.55799759,0.44200241,0.07711179,0.21025617,0.00603794,0.11294644,0.05419262,167938,0.27824982,White
AZ-24,199001,0.54694488,0.44289832,0.31314915,0.68685085,0.10734479,0.51526502,0.00708388,0.04681368,0.03578398,139895,0.10404656,Hispanic
AZ-25,199575,0.39732094,0.59449004,0.68788804,0.31211196,0.06826186,0.17278395,0.00555643,0.04788178,0.0258452,153336,-0.1971691,White
AZ-26,198243,0.55420609,0.43459487,0.28829749,0.71170251,0.0967485,0.55109711,0.00509088,0.04670143,0.03794627,138090,0.11961122,Hispanic
AZ-27,197906,0.47886857,0.51205444,0.78061678,0.21938322,0.02851737,0.08893027,0.00236352,0.06071729,0.04056175,167547,-0.03318587,White
AZ-28,198294,0.68602576,0.29962888,0.1759175,0.8240825,0.14412238,0.62784639,0.00487588,0.03568855,0.04665565,137411,0.38639688,Hispanic
AZ-29,198906,0.7322385,0.25229075,0.28399537,0.71600463,0.12913192,0.52188671,0.00526419,0.03702549,0.05403757,147601,0.47994775,Hispanic
AZ-30,198824,0.66889704,0.31946043,0.17668437,0.82331563,0.08896965,0.68039839,0.00353267,0.03490599,0.04532266,137856,0.34943661,Hispanic
AZ-31,198815,0.54621205,0.44206356,0.69695502,0.30304498,0.05106639,0.16528834,0.00307134,0.05809798,0.03434873,163121,0.10414849,White
AZ-32,199000,0.47544569,0.51426656,0.65333925,0.34666075,0.0510606,0.18535654,0.00343146,0.08290761,0.02851837,155619,-0.0388208700000001,White
AZ-33,199259,0.58904634,0.39953152,0.5841757,0.4158243,0.08505818,0.25404496,0.0034529,0.04217289,0.04521504,155811,0.18951482,White
AZ-34,199027,0.47161357,0.51485135,0.56206387,0.43793613,0.07517641,0.28158901,0.00476938,0.05025443,0.04057233,153479,-0.0432377800000001,White
AZ-35,199349,0.42616615,0.56594864,0.75783091,0.24216909,0.0399736,0.14884039,0.00263977,0.03270835,0.0223732,169712,-0.13978249,White
AZ-36,199598,0.36720829,0.62411577,0.75175264,0.24824736,0.03523098,0.1174498,0.00360429,0.07140594,0.02344771,151486,-0.25690748,White
CA-1,199715,0.57820203,0.37900539,0.7029339,0.2970661,0.02465374,0.1254556,0.0065357,0.04470944,0.09984237,160503,0.19919664,White
CA-2,199742,0.55081583,0.41527063,0.77527863,0.22472137,0.00949078,0.13186611,0.00433182,0.03035947,0.04662063,163211,0.1355452,White
CA-3,199500,0.49026044,0.48383874,0.09993587,0.90006413,0.02986629,0.84198658,0.00213774,0.02489432,0.04044465,145013,0.00642170000000003,Hispanic
CA-4,200196,0.82957856,0.14302517,0.70339901,0.29660099,0.03467879,0.15293978,0.00527789,0.08247403,0.02814873,159723,0.68655339,White
CA-5,199918,0.79304839,0.16277737,0.38729389,0.61270611,0.0799106,0.12121229,0.00671554,0.39681666,0.02051184,183455,0.63027102,Asian
CA-6,199543,0.76417955,0.19311336,0.39050038,0.60949962,0.03566318,0.08814042,0.00548935,0.47607793,0.01360608,170512,0.57106619,Asian
CA-7,199793,0.87377786,0.09167503,0.62614172,0.37385828,0.05051125,0.09821474,0.00496189,0.2078424,0.01570413,175941,0.78210283,White
CA-8,199829,0.7966291,0.15651107,0.28531179,0.71468821,0.10149373,0.25855192,0.01279148,0.34395525,0.02903047,168237,0.64011803,Asian
CA-9,199073,0.70640197,0.25749504,0.17237391,0.82762609,0.03931792,0.21430172,0.01121466,0.56645533,0.01866284,165141,0.44890693,Asian
CA-10,199351,0.69579355,0.26835709,0.33612524,0.66387476,0.02368756,0.22131444,0.02024753,0.3965874,0.02040956,160464,0.42743646,Asian
CA-11,199396,0.74978043,0.21706225,0.44408037,0.55591963,0.02319752,0.15769348,0.01561983,0.35017688,0.01592523,157172,0.53271818,Minority
CA-12,199488,0.78510295,0.1829283,0.44569065,0.55430935,0.04538925,0.32107862,0.0199115,0.16248557,0.02687572,155940,0.60217465,Minority
CA-13,199276,0.7653664,0.19486279,0.69300883,0.30699117,0.02366977,0.17479718,0.00552374,0.07699236,0.03148413,167640,0.57050361,White
CA-14,200118,0.76985741,0.19501692,0.56618526,0.43381474,0.02268426,0.11014691,0.00706549,0.28023531,0.01502117,160640,0.57484049,White
CA-15,199072,0.70605705,0.26220637,0.63190703,0.36809297,0.02781314,0.22511398,0.00704265,0.08625523,0.03511919,159457,0.44385068,White
CA-16,200024,0.683582,0.28011183,0.68596732,0.31403268,0.01448936,0.21822787,0.00513383,0.03421116,0.04860191,162257,0.40347017,White
CA-17,200486,0.72837739,0.23871022,0.5681168,0.4318832,0.03005709,0.29630493,0.00916836,0.07230085,0.04411524,158698,0.48966717,White
CA-18,199732,0.31734146,0.65536024,0.75741462,0.24258538,0.02757229,0.11470295,0.00650617,0.03071704,0.06533407,161539,-0.33801878,White
CA-19,200137,0.30604822,0.66895326,0.67554441,0.32445559,0.01449799,0.2148117,0.00498143,0.0339052,0.06400378,152366,-0.36290504,White
CA-20,200033,0.47725989,0.48939164,0.69562187,0.30437813,0.0259812,0.16781671,0.00670564,0.05990494,0.05313652,159269,-0.01213175,White
CA-21,200210,0.33777154,0.636242,0.50486508,0.49513492,0.03696252,0.27040576,0.00808156,0.14060965,0.0571765,148610,-0.29847046,White
CA-22,198869,0.61908314,0.3514434,0.6537601,0.3462399,0.0177688,0.25380982,0.00478558,0.03402735,0.04463021,160900,0.26763974,White
CA-23,199127,0.40288038,0.56891973,0.76027,0.23973,0.01741013,0.11845767,0.00593498,0.06567326,0.03479479,157035,-0.16603935,White
CA-24,199797,0.46801988,0.50146931,0.64584781,0.35415219,0.0347753,0.14092103,0.00890062,0.15072826,0.02998418,151113,-0.03344943,White
CA-25,199591,0.37502411,0.59882273,0.76985379,0.23014621,0.01981623,0.10912698,0.00574583,0.05501102,0.03941966,159768,-0.22379862,White
CA-26,199940,0.66233781,0.30183164,0.47043379,0.52956621,0.03631005,0.29503727,0.00912011,0.17557955,0.03534439,158441,0.36050617,Minority
CA-27,199944,0.52936067,0.44386167,0.44586048,0.55413952,0.13762754,0.24456236,0.01721224,0.15222818,0.03686326,156226,0.085499,Minority
CA-28,200156,0.65088369,0.31874971,0.33092216,0.66907784,0.15221249,0.24687834,0.01795841,0.25631727,0.03277266,155526,0.33213398,Minority
CA-29,199109,0.69933203,0.26806924,0.34429961,0.65570039,0.15266257,0.23883152,0.0144336,0.24733367,0.0340964,159489,0.43126279,Minority
CA-30,199681,0.80589781,0.15595892,0.2352534,0.7647466,0.17234484,0.37903433,0.00922864,0.19713399,0.03812582,156036,0.64993889,Hispanic
CA-31,199402,0.56769928,0.40851378,0.15357138,0.84642862,0.07075453,0.60784784,0.0102763,0.17271116,0.03128207,150054,0.1591855,Hispanic
CA-32,199845,0.56236162,0.4130881,0.194198,0.805802,0.05321869,0.58932625,0.01048978,0.16712549,0.03182814,153292,0.14927352,Hispanic
CA-33,200255,0.64144755,0.32634758,0.139287,0.860713,0.08976157,0.64369353,0.00866304,0.12866043,0.0378225,153295,0.31509997,Hispanic
CA-34,198897,0.58794672,0.38646973,0.20865951,0.79134049,0.15674827,0.41485797,0.0161474,0.2160034,0.03207881,152780,0.20147699,Hispanic
CA-35,199881,0.66937537,0.29812019,0.66652649,0.33347351,0.05598336,0.173832,0.00708672,0.07672636,0.02280025,175963,0.37125518,White
CA-36,199168,0.76455255,0.19805498,0.43063009,0.56936991,0.10899913,0.29771341,0.00751179,0.15272378,0.02833449,166405,0.56649757,Minority
CA-37,199345,0.63209628,0.33554313,0.52232195,0.47767805,0.06685906,0.21432363,0.01118995,0.17815457,0.02603464,163897,0.29655315,White
CA-38,200051,0.57520501,0.39547189,0.58353375,0.41646625,0.07781383,0.22457212,0.0114462,0.09479544,0.02865051,157170,0.17973312,White
CA-39,199087,0.62657229,0.3404603,0.41194475,0.58805525,0.03779803,0.11790785,0.00839681,0.42178225,0.01307751,161728,0.28611199,Asian
CA-40,200049,0.56084991,0.40584575,0.55020112,0.44979888,0.02943627,0.11362428,0.0073361,0.29278792,0.01587302,152397,0.15500416,White
CA-41,199326,0.63667475,0.33251643,0.70476096,0.29523904,0.0184447,0.1094427,0.00522394,0.14880171,0.01357357,161564,0.30415832,White
CA-42,200033,0.53827364,0.43178263,0.37262262,0.62737738,0.03654715,0.47355609,0.00730943,0.10426493,0.03563017,151585,0.10649101,Hispanic
CA-43,199030,0.55971278,0.41202601,0.68034928,0.31965072,0.02596538,0.16455623,0.00688825,0.10850917,0.02314862,156208,0.14768677,White
CA-44,198915,0.54327205,0.42714649,0.4063822,0.5936178,0.0538308,0.42134632,0.01727623,0.09681149,0.04176004,154837,0.11612556,Hispanic
CA-45,200121,0.37654769,0.59994584,0.6597153,0.3402847,0.04114477,0.20601531,0.01039467,0.06626685,0.03040685,154406,-0.22339815,White
