id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct_2,RepPct_2,Margin_2,Lean,Majority
CA-11,760790,0.81831523,0.14067656,0.44652805,0.55347195,0.06511426,0.13312876,0.00691701,0.34146253,0.01938205,665461,0.67763867,0.86283663,0.11734933,0.74548730,0.69525488,Minority
CA-12,759921,0.84562381,0.10608029,0.35246864,0.64753136,0.18056327,0.21157039,0.00923274,0.2450459,0.03063839,621051,0.73954352,0.8936984,0.08557627,0.80812213,0.75740306,Minority
CA-13,759885,0.41462592,0.56006451,0.37896484,0.62103516,0.04010688,0.46858748,0.00687848,0.08867351,0.05107198,558408,-0.14543859,0.4691453,0.5089094,-0.03976410,-0.11521376,Hispanic
CA-14,760391,0.66260152,0.29635079,0.22765714,0.77234286,0.06765735,0.2308146,0.02002264,0.45813617,0.02443257,590032,0.36625073,0.7336476,0.24647704,0.48717056,0.40155734,Asian
CA-15,760540,0.72088133,0.24409343,0.31753151,0.68246849,0.03332571,0.22696264,0.01529783,0.40483313,0.02072203,612440,0.47678790,0.7743127,0.20660234,0.56771036,0.50209539,Asian
CA-16,759768,0.75111926,0.2105033,0.51849649,0.48150351,0.02690503,0.1446213,0.00842662,0.28799207,0.01995898,608548,0.54061596,0.78240708,0.19464683,0.58776025,0.55133072,White
CA-17,759297,0.64198159,0.31988616,0.1773227,0.8226773,0.02725528,0.22203112,0.00725956,0.56732385,0.0210854,602929,0.32209543,0.70013956,0.28196939,0.41817017,0.34912034,Asian
CA-18,760037,0.67490166,0.28788013,0.37526122,0.62473878,0.03843712,0.32887095,0.00825288,0.24545132,0.03333485,593853,0.38702153,0.71977859,0.25676329,0.46301530,0.40735279,Minority
CA-19,760569,0.62258618,0.34679442,0.38707504,0.61292496,0.02878429,0.49443963,0.00756278,0.07586152,0.04384846,586292,0.27579176,0.67394229,0.30354387,0.37039842,0.30232731,Hispanic
CA-20,759917,0.40503298,0.56855685,0.40033332,0.59966668,0.09740715,0.40664896,0.00459206,0.0729334,0.04529203,561622,-0.16352387,0.44932718,0.52568052,-0.07635334,-0.13946703,Hispanic
CA-21,759972,0.51307194,0.45969467,0.26647876,0.73352124,0.06583975,0.52138745,0.00421598,0.13528585,0.04118473,544595,0.05337727,0.5829041,0.39608697,0.18681713,0.09285722,Hispanic
CA-22,760278,0.40205983,0.57339312,0.28115958,0.71884042,0.04241127,0.61272431,0.00349154,0.04666554,0.04295925,540163,-0.17133329,0.47288785,0.50453881,-0.03165096,-0.12977251,Hispanic
CA-23,759881,0.41988521,0.55312922,0.38001894,0.61998106,0.11055193,0.44341816,0.00727683,0.04543864,0.04595109,565906,-0.13324401,0.46865081,0.5072624,-0.03861159,-0.10669987,Hispanic
CA-24,759421,0.64031577,0.32868517,0.43311135,0.56688865,0.02915203,0.43602104,0.00529824,0.0867128,0.03976021,598689,0.31163060,0.67431108,0.30335441,0.37095667,0.32640596,Hispanic
CA-25,760338,0.41565311,0.55991172,0.49013284,0.50986716,0.03757332,0.38693357,0.00757275,0.06137678,0.03853457,588822,-0.14425861,0.45446801,0.52309846,-0.06863045,-0.12404922,Minority
CA-26,760949,0.4329275,0.54089689,0.43230756,0.56769244,0.03025556,0.45220477,0.00476684,0.06529867,0.04006356,579629,-0.10796939,0.47231822,0.50561756,-0.03329934,-0.08807937,Hispanic
CA-27,759776,0.47127375,0.49973673,0.46149797,0.53850203,0.06786371,0.32314184,0.00501704,0.13602364,0.02948271,590787,-0.02846298,0.5082285,0.47136744,0.03686106,-0.01168830,Minority
CA-28,759564,0.59010134,0.37650754,0.18564873,0.81435127,0.0357965,0.30040975,0.00429157,0.47796709,0.02327767,618189,0.21359380,0.64851144,0.33241717,0.31609427,0.24276062,Asian
