HD,NAME,TotalPop,PopDevPct,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,Majority,Lean,Seats,State
AZ-26,26,240240,0.00778829,0.54982216,0.43947225,0.66405456,0.33594544,0.05584415,0.20316579,0.00367848,0.04650206,0.03458607,191927,0.11034991,0.55909613,0.42473753,0.1343586,-0.02400869,White,0.11335281,2,AZ
AZ-27,27,238960,0.00241879,0.4457184,0.54570386,0.802686,0.197314,0.02445488,0.07412041,0.00204259,0.07945667,0.01493132,195830,-0.09998546,0.46085764,0.52841201,-0.06755437,-0.03243109,White,-0.0941751,2,AZ
AZ-28,28,235928,-0.01030021,0.44215699,0.5469352,0.66539592,0.33460408,0.05767347,0.20878398,0.00382805,0.04144508,0.03120886,189914,-0.10477821,0.4495584,0.53453003,-0.08497163,-0.01980658,White,-0.10317602,2,AZ
AZ-29,29,235748,-0.0110553,0.37365011,0.61827625,0.77124158,0.22875842,0.03243577,0.10945854,0.00329129,0.0641287,0.02160216,184426,-0.24462614,0.38000606,0.60762244,-0.22761638,-0.01700976,White,-0.24395622,2,AZ
AZ-30,30,238609,0.00094637,0.34420224,0.64785016,0.81822523,0.18177477,0.02449583,0.08330349,0.002964,0.04672844,0.02145397,192645,-0.30364792,0.35788262,0.63106987,-0.27318725,-0.03046067,White,-0.29849436,2,AZ
ID-01,1,51815,-0.01390948,0.25805338,0.71692308,0.90700158,0.09299842,0.00419852,0.03169518,0.0024997,0.01082393,0.03014197,41205,-0.4588697,0.3013962,0.67364765,-0.37225145,-0.08661825,White,-0.43499695,2,ID
ID-02,2,52797,0.00477895,0.15843142,0.82133191,0.89432476,0.10567524,0.00590963,0.03770197,0.00324157,0.01244265,0.03653002,40104,-0.66290049,0.1970572,0.77899577,-0.58193857,-0.08096192,White,-0.64091318,2,ID
ID-03,3,52667,0.00230492,0.21379265,0.76354042,0.88979683,0.11020317,0.00491779,0.04540261,0.00345239,0.01669068,0.02997864,40262,-0.54974777,0.25103324,0.72230009,-0.47126685,-0.07848092,White,-0.52858746,2,ID
ID-04,4,52583,0.00070632,0.32359992,0.64959717,0.88042764,0.11957236,0.00808514,0.04558849,0.00455398,0.02060249,0.03343643,41063,-0.32599725,0.37009016,0.60066641,-0.23057625,-0.095421,White,-0.29919025,2,ID
ID-05,5,52099,-0.00850468,0.20754018,0.7709309,0.88868014,0.11131986,0.00428062,0.02803805,0.00271106,0.00991677,0.0530321,42050,-0.56339072,0.23495631,0.74397548,-0.50901917,-0.05437155,White,-0.55026687,2,ID
ID-06,6,52458,-0.00167255,0.43562712,0.52969571,0.83653892,0.16346108,0.01253529,0.04868188,0.00399502,0.03315631,0.05904024,41802,-0.09406859,0.49410267,0.46736811,0.02673456,-0.12080315,White,-0.05880087,2,ID
ID-07,7,53602,0.0200989,0.20719049,0.76809651,0.90215099,0.09784901,0.00541262,0.02837528,0.00222597,0.01054407,0.04526923,42678,-0.56090602,0.21555663,0.76100803,-0.5454514,-0.01545462,White,-0.56075448,2,ID
ID-08,8,52965,0.00797616,0.53664482,0.43090633,0.78171956,0.21828044,0.01221628,0.15316768,0.00378705,0.01905739,0.03076059,40929,0.10573849,0.55697551,0.40977399,0.14720152,-0.04146303,White,0.1145595,2,ID
ID-09,9,55009,0.04687549,0.17085481,0.80877721,0.81914842,0.18085158,0.00414164,0.11436737,0.00227669,0.01448363,0.03802558,41288,-0.6379224,0.1893965,0.78838127,-0.59898477,-0.03893763,White,-0.62994319,2,ID
ID-10,10,52913,0.00698655,0.15936186,0.80199274,0.83339266,0.16660734,0.01948221,0.09677037,0.00870886,0.02904535,0.01383451,42141,-0.64263088,0.1557971,0.79236793,-0.63657083,-0.00606005,White,-0.64561086,2,ID
ID-11,11,52951,0.00770972,0.22174735,0.75314918,0.7461284,0.2538716,0.023405,0.16428607,0.00528743,0.02688819,0.03395479,39906,-0.53140183,0.23955124,0.73093016,-0.49137892,-0.04002291,White,-0.52306086,2,ID
ID-12,12,54591,0.03892054,0.34671664,0.61983175,0.83654382,0.16345618,0.01239418,0.08219699,0.0056775,0.02379987,0.03923557,39454,-0.27311511,0.35673792,0.60332591,-0.24658799,-0.02652712,White,-0.26927274,2,ID
ID-13,13,50915,-0.03103736,0.17797129,0.79883599,0.78480085,0.21519915,0.0039369,0.16214602,0.00184627,0.00906845,0.03513345,36831,-0.6208647,0.19195681,0.78113945,-0.58918264,-0.03168206,White,-0.61530401,2,ID
ID-14,14,51044,-0.02858237,0.29531338,0.67501668,0.77094987,0.22905013,0.01892246,0.14597329,0.00511201,0.03126087,0.02887884,37363,-0.3797033,0.30785971,0.65458778,-0.34672807,-0.03297523,White,-0.37371156,2,ID
ID-15,15,50977,-0.02985744,0.19690079,0.77923755,0.63795933,0.36204067,0.00369969,0.32604523,0.00239228,0.00837297,0.03226794,35949,-0.58233676,0.217357,0.75897436,-0.54161736,-0.0407194,White,-0.57376363,2,ID
ID-16,16,55025,0.04717999,0.14714059,0.825417,0.79875583,0.20124417,0.00422499,0.14390876,0.00313634,0.00826853,0.04561949,38580,-0.67827641,0.16552914,0.80893544,-0.6434063,-0.03487011,White,-0.67165304,2,ID
ID-17,17,52377,-0.00321406,0.30390137,0.66881563,0.87692841,0.12307159,0.0044078,0.07929079,0.00222866,0.00802318,0.02491147,40383,-0.36491426,0.31215055,0.66480295,-0.3526524,-0.01226186,White,-0.36582697,2,ID
ID-18,18,53720,0.02234455,0.17208728,0.79991766,0.79968689,0.20031311,0.00488245,0.11420687,0.00217587,0.00865043,0.07623521,37686,-0.62783038,0.18507399,0.78846236,-0.60338837,-0.02444201,White,-0.62468304,2,ID
ID-19,19,53544,0.0189951,0.16821788,0.80176228,0.82882759,0.17117241,0.00565517,0.13062069,0.00245517,0.01175172,0.02184828,36250,-0.6335444,0.16974019,0.79948365,-0.62974346,-0.00380094,White,-0.63727742,2,ID
ID-20,20,54865,0.04413503,0.32449291,0.6390987,0.8169472,0.1830528,0.00990421,0.12390266,0.00292624,0.02048371,0.02678638,39983,-0.31460579,0.33306229,0.6267787,-0.29371641,-0.02088938,White,-0.31264266,2,ID
ID-21,21,54117,0.02989985,0.18664116,0.78177701,0.85107101,0.14892899,0.00688705,0.103615,0.00300781,0.01613538,0.02018328,35574,-0.59513585,0.19927319,0.76881914,-0.56954595,-0.0255899,White,-0.59160588,2,ID
ID-22,22,54642,0.03989112,0.18631246,0.7908513,0.76212369,0.23787631,0.00716902,0.17304346,0.00454557,0.01618224,0.0344944,38499,-0.60453884,0.21857539,0.75379471,-0.53521932,-0.06931952,White,-0.58643233,2,ID
ID-23,23,52839,0.00557825,0.27658228,0.69762658,0.7342661,0.2657339,0.01222303,0.19507438,0.00618954,0.02301571,0.03076563,38452,-0.4210443,0.30327979,0.6653989,-0.36211911,-0.05892519,White,-0.40640257,2,ID
ID-24,24,50000,-0.04845071,0.3169419,0.65357798,0.59511892,0.40488108,0.01470547,0.33528464,0.00480756,0.0180142,0.0397896,35361,-0.33663608,0.36014671,0.60551445,-0.24536774,-0.09126834,White,-0.3112133,2,ID
ID-25,25,50371,-0.04139022,0.31176601,0.65765566,0.71032151,0.28967849,0.01178144,0.21829209,0.00614567,0.01790027,0.04076539,37262,-0.34588965,0.33153953,0.63389736,-0.30235783,-0.04353182,White,-0.33637904,2,ID
ID-26,26,52771,0.00428415,0.21937394,0.75639961,0.81091187,0.18908813,0.0135826,0.12173471,0.00363729,0.01727076,0.03019204,39315,-0.53702567,0.22813337,0.74212538,-0.51399201,-0.02303366,White,-0.53434778,2,ID
ID-27,27,53252,0.01343805,0.25114559,0.72859555,0.87479986,0.12520014,0.00800578,0.05712515,0.00420949,0.02956975,0.02009194,38722,-0.47744996,0.29776715,0.68025518,-0.38248803,-0.09496193,White,-0.45079598,2,ID
ID-28,28,53093,0.01041212,0.293692,0.68174444,0.84664761,0.15335239,0.01361746,0.07928794,0.00483368,0.02697505,0.02390852,38480,-0.38805244,0.30633544,0.66386153,-0.35752609,-0.03052635,White,-0.38287699,2,ID
ID-29,29,50798,-0.03326399,0.37183224,0.59918225,0.81883374,0.18116626,0.01450408,0.08910037,0.00469091,0.04415928,0.026474,37093,-0.22735001,0.38709421,0.58052211,-0.1934279,-0.03392211,White,-0.22104264,2,ID
ID-30,30,50421,-0.04043867,0.36021676,0.61233682,0.82414212,0.17585788,0.01790352,0.07365862,0.00649279,0.0486821,0.02652373,36194,-0.25212006,0.3730807,0.593412,-0.2203313,-0.03178876,White,-0.24652381,2,ID
ID-31,31,51090,-0.02770694,0.53153025,0.43501779,0.76549174,0.23450826,0.03667735,0.11493715,0.00736998,0.04725166,0.02837072,40570,0.09651246,0.53407846,0.42555336,0.1085251,-0.01201264,White,0.09551667,2,ID
ID-32,32,52130,-0.00791472,0.53315021,0.43452739,0.8239201,0.1760799,0.02041364,0.07899299,0.00478597,0.03792152,0.02976583,40953,0.09862282,0.53692799,0.4291238,0.10780419,-0.00918137,White,0.09668328,2,ID
ID-33,33,51302,-0.02367237,0.54398737,0.42136655,0.80476694,0.19523306,0.02439826,0.08683809,0.0056123,0.04499237,0.02646472,42585,0.12262082,0.56296386,0.39887253,0.16409133,-0.04147051,White,0.13144432,2,ID
ID-34,34,51700,-0.01609804,0.65606101,0.31323075,0.83179175,0.16820825,0.01474521,0.05319071,0.00527491,0.06943252,0.01908781,40759,0.34283026,0.67622523,0.29480579,0.38141944,-0.03858918,White,0.35069332,2,ID
ID-35,35,51663,-0.01680219,0.55706107,0.41517176,0.8630329,0.1369671,0.01666913,0.05831735,0.00312239,0.02829818,0.02461032,40674,0.14188931,0.58793,0.38545524,0.20247476,-0.06058545,White,0.15708446,2,ID
MD-1,1,129034,-0.01793978,0.38533457,0.58895799,0.73183877,0.26816123,0.1883959,0.03713649,0.0009918,0.02472024,0.01766533,106876,-0.20362342,0.40039909,0.57896237,-0.17856328,-0.02506014,White,-0.20027004,3,MD
MD-2A,2A,43495,-0.00689641,0.63694045,0.32896388,0.43965231,0.56034769,0.43756979,0.0760571,0.0017807,0.03757583,0.01955754,33133,0.30797657,0.66464646,0.30790665,0.35673981,-0.04876324,Minority,0.31923098,1,MD
MD-2B,2B,43086,-0.01623494,0.36945235,0.60558039,0.69252418,0.30747582,0.24361546,0.03538816,0.0015269,0.01281399,0.01835274,33401,-0.23612804,0.39203989,0.58395861,-0.19191872,-0.04420932,White,-0.2263916,1,MD
MD-2C,2C,42222,-0.0359623,0.49050052,0.48287699,0.75859361,0.24140639,0.14186006,0.06706218,0.001425,0.01805968,0.01570407,34386,0.00762353,0.49394112,0.48162004,0.01232108,-0.00469755,White,0.00418938,1,MD
MD-3,3,129693,-0.01292422,0.36381558,0.60963141,0.81043459,0.18956541,0.09918857,0.05162285,0.00162089,0.0178396,0.01944084,101796,-0.24581583,0.38050887,0.59287818,-0.21236931,-0.03344652,White,-0.23966699,3,MD
MD-4,4,130492,-0.00684314,0.29454541,0.67804917,0.87196567,0.12803433,0.04990106,0.0304755,0.00115593,0.01855371,0.02334398,102082,-0.38350376,0.30543308,0.66787339,-0.36244031,-0.02106345,White,-0.38148261,3,MD
MD-5,5,130716,-0.0051383,0.52164933,0.44735561,0.62362492,0.37637508,0.25420658,0.05934757,0.00245238,0.04579442,0.02131067,99903,0.07429372,0.53443803,0.4378046,0.09663343,-0.02233971,White,0.07674029,3,MD
