,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,Majority,PopDensity
31,11,759871.0,0.81841547,0.14058104,0.44685009,0.55314991,0.06514956,0.13293645,0.00692056,0.34127543,0.01937757,664686,0.6778344300000001,Minority,61876201.96236846
32,12,759968.0,0.8461877,0.10554791,0.35225675,0.64774325,0.18111653,0.21208915,0.009324,0.24410707,0.03069398,620871,0.74063979,Minority,29323685.569137115
33,13,759939.0,0.52293652,0.44844401,0.30030887,0.69969113,0.03977549,0.55146621,0.0086201,0.09201026,0.05120461,554286,0.07449251000000001,Hispanic,578314.9953794486
34,14,759924.0,0.65870302,0.30118463,0.29061412,0.70938588,0.065605,0.20811208,0.01785538,0.41951524,0.02324217,586434,0.35751839,Asian,7327676.203179742
35,15,759290.0,0.72084993,0.2443829,0.34356301,0.65643699,0.0313412,0.20512892,0.01452035,0.4023618,0.01978818,613346,0.47646703,Asian,6339210.789207085
36,16,759868.0,0.74043615,0.2189439,0.36917823,0.63082177,0.02931583,0.16543004,0.0095837,0.4203485,0.0166836,600290,0.52149225,Asian,14851163.849567425
37,17,759365.0,0.62604508,0.33505867,0.1421165,0.8578835,0.02953,0.23353535,0.0091392,0.58877961,0.02244448,596004,0.29098641000000003,Asian,14450342.77929931
38,18,760512.0,0.71247891,0.24878078,0.45981104,0.54018896,0.03802968,0.25303123,0.00754264,0.23273071,0.02914532,606684,0.46369812999999993,Minority,6006225.481142851
39,19,759409.0,0.60697513,0.36225135,0.49320472,0.50679528,0.02639788,0.38669047,0.00737178,0.07426568,0.03920016,594972,0.24472378,Minority,614261.3624769901
40,20,760270.0,0.33117237,0.64659725,0.46473412,0.53526588,0.04489671,0.39005426,0.00454553,0.07477832,0.04276806,558571,-0.31542488,Minority,416881.9430299649
41,21,760586.0,0.53546854,0.43730682,0.22102642,0.77897358,0.06229354,0.59494401,0.00398256,0.11184848,0.04318285,537343,0.09816172000000001,Hispanic,5944703.038606699
42,22,759992.0,0.49845388,0.47417952,0.16173872,0.83826128,0.05873122,0.72643439,0.00358429,0.0442636,0.04265448,551853,0.024274359999999995,Hispanic,396927.77694159426
43,23,759359.0,0.35556624,0.61929833,0.52626543,0.47373457,0.06016531,0.31846097,0.00688446,0.06413599,0.04586536,580002,-0.26373209000000003,White,96636.95373010215
44,24,759968.0,0.59106046,0.37827846,0.48388201,0.51611799,0.02429023,0.39536811,0.00460706,0.07904141,0.03924891,596042,0.21278200000000003,Minority,681803.1692344166
45,25,759987.0,0.54629699,0.42875953,0.176117,0.823883,0.06076073,0.6246872,0.00887844,0.13876586,0.03373635,583436,0.11753745999999998,Hispanic,530962.5779810725
46,26,760824.0,0.58147492,0.39066825,0.53585878,0.46414122,0.03100418,0.31029908,0.00490336,0.10873659,0.02871225,594694,0.19080667,White,5489555.523246136
47,27,760354.0,0.53595915,0.43450358,0.22393104,0.77606896,0.14321961,0.56615904,0.00527696,0.05961436,0.04416695,558087,0.10145557000000005,Hispanic,1469809.4637244144
48,28,759425.0,0.60912986,0.35772956,0.22347966,0.77652034,0.03206587,0.30427917,0.00339445,0.43932344,0.02432471,617479,0.2514003,Asian,21521572.917120136
49,29,760082.0,0.64900774,0.31886658,0.31591421,0.68408579,0.06202472,0.49677233,0.00332371,0.12095957,0.03260073,598729,0.33014116000000004,Hispanic,27183501.935876075
50,30,760805.0,0.67646538,0.29404009,0.63850585,0.36149415,0.04959481,0.14827399,0.00342235,0.15140422,0.01633071,650431,0.38242529000000003,White,27616833.559402388
51,31,759880.0,0.54537615,0.42220869,0.23108351,0.76891649,0.01988775,0.61010013,0.00375074,0.13433115,0.03817727,588151,0.12316745999999995,Hispanic,20398346.76677186
52,32,760365.0,0.54887798,0.42057801,0.42245186,0.57754814,0.05904692,0.33361046,0.00459246,0.17676831,0.0265372,601420,0.12829996999999999,Minority,3321118.9115444105
53,33,760453.0,0.54560087,0.42521544,0.18900219,0.81099781,0.11432129,0.61098479,0.00575122,0.08108641,0.03980668,553274,0.12038543000000002,Hispanic,14927828.103928635
54,34,760747.0,0.75316502,0.20395516,0.20099008,0.79900992,0.04183878,0.63833517,0.00306673,0.11695726,0.03967588,605204,0.5492098599999999,Hispanic,41277675.26887852
55,35,759961.0,0.52348014,0.44651948,0.26353991,0.73646009,0.07556874,0.51818003,0.00555874,0.13752533,0.03688499,584845,0.07696065999999996,Hispanic,17169402.014424447
56,36,760429.0,0.68499284,0.28147874,0.55632016,0.44367984,0.05136787,0.1601483,0.00625268,0.21601118,0.01925025,629810,0.40351410000000004,White,27559743.76345887
57,37,760605.0,0.72651021,0.23377008,0.09606051,0.90393949,0.13455032,0.59414014,0.00300294,0.17580924,0.04364108,594417,0.49274013000000005,Hispanic,88269185.53780633
58,38,760086.0,0.54603808,0.4233721,0.13710551,0.86289449,0.03529739,0.48803654,0.00425276,0.33954899,0.02962374,604549,0.12266598000000001,Hispanic,14562349.487326179
59,39,759579.0,0.53721003,0.43212504,0.21052256,0.78947744,0.09442125,0.6164352,0.0064958,0.07164488,0.03906409,560054,0.10508498999999999,Hispanic,11550062.607445488
60,40,760845.0,0.42251643,0.54851641,0.39824529,0.60175471,0.07769387,0.37367799,0.00866626,0.13701591,0.03304364,568642,-0.12599997999999996,Minority,5275027.779831643
61,41,759405.0,0.54315759,0.43564628,0.41269888,0.58730112,0.06312569,0.45705937,0.00440707,0.05214403,0.03777218,583154,0.10751130999999997,Hispanic,2081814.7536960384
62,42,760838.0,0.54021158,0.42831204,0.18604722,0.81395278,0.03633579,0.53705173,0.00731646,0.23363716,0.03516394,592226,0.11189954000000002,Hispanic,33945540.226427056
63,43,759264.0,0.78864951,0.18092268,0.13099486,0.86900514,0.34114808,0.42746211,0.00604183,0.10018119,0.03456102,598825,0.60772683,Hispanic,48731432.44824507
64,44,759574.0,0.67612962,0.29311085,0.08709321,0.91290679,0.16115587,0.65377324,0.00956986,0.09592962,0.03896386,571273,0.38301877,Hispanic,31608294.922040038
65,45,759523.0,0.54034893,0.43072668,0.24376206,0.75623794,0.07387506,0.32487869,0.01098467,0.34771426,0.02705787,596832,0.10962224999999998,Asian,33225907.96334481
66,46,760674.0,0.53246411,0.43530368,0.27874754,0.72125246,0.02220485,0.53616754,0.00564698,0.15509195,0.03997011,584737,0.09716043000000002,Hispanic,11481810.99078892
67,47,760423.0,0.53654074,0.43211999,0.49325593,0.50674407,0.06739881,0.26896307,0.00919852,0.15384615,0.02755523,620100,0.10442074999999995,Minority,11260999.81662645
68,48,759962.0,0.55058327,0.41934428,0.53477376,0.46522624,0.05196081,0.26239154,0.00792564,0.12777599,0.0347614,606765,0.13123898999999994,White,1083249.0466394967
69,49,759468.0,0.52975939,0.43333379,0.50911754,0.49088246,0.02662358,0.15616315,0.00491421,0.29505557,0.01625024,605591,0.09642560000000006,White,14395005.717713434
70,50,760079.0,0.54940831,0.42086994,0.60531023,0.39468977,0.03734579,0.2167012,0.00901889,0.1178412,0.02540325,621141,0.12853837,White,4336272.663820494
71,51,760536.0,0.56398688,0.40564615,0.52277656,0.47722344,0.03276158,0.22138429,0.00861457,0.20645658,0.02429011,587029,0.15834072999999999,White,10257213.39968246
72,52,760092.0,0.54107048,0.4314065,0.45498233,0.54501767,0.09752812,0.31136034,0.01080769,0.12152435,0.030912,590968,0.10966398,Minority,9466388.83128312
73,1,722625.0,0.66083303,0.31211366,0.53365296,0.46634704,0.09702732,0.30393373,0.00399988,0.04641125,0.03488079,556266,0.34871937000000003,White,4753353.797896553
74,2,720816.0,0.5680228,0.40603815,0.77827944,0.22172056,0.01321419,0.13556552,0.0024472,0.03695169,0.03202073,574534,0.16198465000000006,White,92706.64830643286
75,3,721365.0,0.53610027,0.43595184,0.65754892,0.34245108,0.04649211,0.23807812,0.00443089,0.02506885,0.04397039,573022,0.10014843000000007,White,104024.42360325142
76,4,721308.0,0.33771997,0.63710168,0.72317421,0.27682579,0.04631869,0.16436061,0.00554921,0.03627909,0.03377974,544942,-0.29938171,White,69182.26895287688
77,5,722002.0,0.58006386,0.3934219,0.71197443,0.28802557,0.02848643,0.18342998,0.00265313,0.05181253,0.03083012,568762,0.18664196,White,1830707.6003295835
78,6,720951.0,0.55082965,0.42028836,0.60168046,0.39831954,0.12113568,0.17474189,0.00497181,0.08299407,0.02865563,546280,0.13054128999999992,White,5202465.668062896
79,7,722699.0,0.5641962,0.40736865,0.77527656,0.22472344,0.02028898,0.13124804,0.00230755,0.04197207,0.03112026,584603,0.15682755000000004,White,507998.4231694066
80,8,721948.0,0.55531418,0.41606688,0.70197642,0.29802358,0.0203451,0.20445964,0.00281913,0.045106,0.03285653,561167,0.13924730000000002,White,906833.0939534066
81,1,721508.0,0.57890022,0.40136775,0.55031295,0.44968705,0.19250042,0.19964479,0.00155646,0.05073736,0.01549485,573739,0.17753246999999994,White,8796367.848652763
82,2,720454.0,0.56898673,0.41408264,0.63288364,0.36711636,0.14892738,0.15285607,0.00214576,0.0528993,0.02228746,576019,0.15490409,White,1611914.0547159428
83,3,720911.0,0.55334001,0.43068489,0.7037294,0.2962706,0.10747639,0.14260298,0.00171871,0.03772537,0.01579282,579504,0.12265512,White,2835884.0026300484
84,4,721742.0,0.56298969,0.42113861,0.68853163,0.31146837,0.06991383,0.15699121,0.00101203,0.0645686,0.01135149,561248,0.14185107999999996,White,3756457.331797468
85,5,721329.0,0.55905546,0.42363797,0.75901174,0.24098826,0.0716205,0.09910371,0.0010385,0.05709526,0.01286639,578717,0.13541748999999997,White,1703628.4845419372
86,1,989948.0,0.56567569,0.41948412,0.62437671,0.37562329,0.22762886,0.08666531,0.001349,0.04834195,0.01994402,783543,0.14619156999999994,White,1828449.1423320894
87,1,769447.0,0.30669747,0.67855003,0.71943891,0.28056109,0.13951015,0.06546959,0.00378344,0.04174174,0.03208083,605533,-0.37185256,White,843027.5481443458
88,2,769946.0,0.54096444,0.4424246,0.58881499,0.41118501,0.26077677,0.08731897,0.00154091,0.04777153,0.01794419,623656,0.09853983999999999,White,570857.2340989013
89,3,769721.0,0.25159725,0.73759849,0.79577094,0.20422906,0.08244131,0.075045,0.00185426,0.01904849,0.02540755,626664,-0.48600124,White,297244.08812111994
90,4,769105.0,0.54180634,0.44151614,0.45534439,0.54465561,0.36119775,0.11029719,0.00288582,0.06316766,0.01906825,596017,0.10029020000000005,Minority,6144180.7650729325
91,5,769567.0,0.33134116,0.65514503,0.77958875,0.22041125,0.08236504,0.0754051,0.00215649,0.0399792,0.01872988,611643,-0.32380387,White,1142748.2916932318
92,6,768976.0,0.30382759,0.68562041,0.72866905,0.27133095,0.11755308,0.10963806,0.00208103,0.02191791,0.02265686,618444,-0.38179282,White,775961.5669776327
93,7,769521.0,0.53770575,0.44585747,0.43598347,0.56401653,0.27820024,0.22194809,0.00239342,0.0558281,0.01745959,596635,0.09184828,Minority,7700531.626527821
94,8,769124.0,0.37856023,0.60866354,0.73083074,0.26916926,0.10706267,0.11617757,0.00190019,0.02515776,0.02150234,634675,-0.23010331,White,1904373.4546288825
