,id,TotalPop,DemPct,RepPct,WhitePct,MinorityPct,BlackPct,HispanicPct,PacificPct,AsianPct,NativePct,TotalVAP,Margin,DemPct2,RepPct2,Margin2,Swing,R_Margin,R_Margin2,R_Swing,Majority,PopDensity
19,8,794900,0.41323166,0.57752799,0.6829822,0.3170178,0.05530018,0.18870764,0.00414587,0.04888243,0.02785947,623271,-0.16429633,0.42397792,0.56208819,-0.13811027,-0.02618606,-0.16246127310344827,-0.1900693316321839,0.027608058528735623,White,10018770.433356524
20,9,794325,0.58466989,0.40047739,0.53360017,0.46639983,0.0767492,0.27361818,0.00592224,0.07876327,0.05001752,625101,0.1841925,0.60670227,0.373675,0.23302727,-0.04883477,0.18602755689655176,0.1810682083678161,0.004959348528735662,White,18196436.25832274
21,1,760503,0.36021029,0.61185338,0.6541419,0.3458581,0.02650954,0.19489164,0.00649251,0.06711681,0.06017753,593145,-0.25164309,0.39154741,0.58391953,-0.19237212,-0.05927097,-0.2498080331034483,-0.2443311816321839,-0.0054768514712644,White,101573.82807166023
22,2,759916,0.70829797,0.25757359,0.6871728,0.3128272,0.02528826,0.17670079,0.00588228,0.05890243,0.05356481,615068,0.45072438,0.73498871,0.2404861,0.49450261,-0.04377823,0.45255943689655176,0.44254354836781606,0.010015888528735716,White,210156.24238846515
23,3,759308,0.46763988,0.50085688,0.7210008,0.2789992,0.02413854,0.12600612,0.00653344,0.08866458,0.03638875,602439,-0.033217,0.48119981,0.4940902,-0.01289039,-0.02032661,-0.031381943103448225,-0.06484945163218389,0.033467508528735666,White,133113.46181771895
24,4,759818,0.64097601,0.32782521,0.5494519,0.4505481,0.04103503,0.27810335,0.00852091,0.10094679,0.04043376,610381,0.3131508,0.67106678,0.30472322,0.36634356,-0.05319276,0.3149858568965518,0.31438449836781607,0.000601358528735739,White,706122.293183046
25,5,759428,0.37011861,0.60522767,0.6397943,0.3602057,0.0245876,0.21907683,0.00729997,0.0770532,0.04319544,592331,-0.23510906,0.39801647,0.58041729,-0.18240082,-0.05270824,-0.23327400310344826,-0.23435988163218388,0.0010858785287356162,White,272324.6869527568
26,6,760389,0.58301016,0.38169294,0.51709685,0.48290315,0.10478058,0.21032212,0.01488378,0.14002976,0.03852282,587418,0.20131722,0.60778278,0.36550535,0.24227743,-0.04096021,0.2031522768965518,0.19031836836781604,0.012833908528735748,White,11917813.046602158
27,7,759862,0.60293983,0.36267954,0.34170223,0.65829777,0.13074145,0.23353501,0.02412301,0.26959657,0.03452149,573353,0.24026029,0.64732295,0.32946163,0.31786132,-0.07760103,0.24209534689655166,0.26590225836781606,-0.02380691147126438,Minority,3735539.9756049514
28,8,759707,0.70180308,0.26550268,0.28066928,0.71933072,0.17219144,0.3079991,0.01525448,0.22478141,0.03556609,589466,0.4363004,0.75734589,0.22149856,0.53584733,-0.09954693,0.43813545689655176,0.48388826836781607,-0.04575281147126429,Hispanic,5223256.728062858
29,9,760048,0.48727496,0.48201998,0.30683835,0.69316165,0.09190794,0.38310432,0.01295264,0.20480619,0.03803044,560735,0.00525498,0.56702565,0.41141401,0.15561164,-0.15035666,0.007090036896551683,0.10365257836781613,-0.09656254147126445,Hispanic,2036188.5117322837
30,10,760371,0.64603657,0.32075846,0.51611959,0.48388041,0.06362911,0.17770947,0.00961406,0.22487436,0.02372625,587577,0.32527811,0.67954801,0.29954548,0.38000253,-0.05472442,0.32711316689655173,0.3280434683678161,-0.0009303014712643623,White,5118539.213572272
31,11,760790,0.81831523,0.14067656,0.44652805,0.55347195,0.06511426,0.13312876,0.00691701,0.34146253,0.01938205,665461,0.67763867,0.86283663,0.11734933,0.7454873,-0.06784863,0.6794737268965516,0.6935282383678161,-0.014054511471264443,Minority,61904291.7695706
32,12,759576,0.84420333,0.10766454,0.35135767,0.64864233,0.17913726,0.20998915,0.00930198,0.24900848,0.0303797,620513,0.73653879,0.89194823,0.08727959,0.80466864,-0.06812985,0.7383738468965517,0.7527095783678162,-0.014335731471264414,Minority,29006271.148651205
33,13,760308,0.47354895,0.49932107,0.28132285,0.71867715,0.0422762,0.58598394,0.00915207,0.07183967,0.0509183,549056,-0.02577212,0.54979791,0.42687053,0.12292738,-0.1486995,-0.023937063103448238,0.07096831836781606,-0.09490538147126429,Hispanic,522771.2474560083
34,14,760504,0.6595782,0.30212069,0.28011655,0.71988345,0.06783372,0.23675643,0.01964623,0.39808698,0.02617241,591004,0.35745751,0.7196662,0.25952542,0.46014078,-0.10268327,0.3592925668965517,0.40818171836781614,-0.048889151471264415,Asian,4771673.855016048
35,15,760488,0.7229354,0.24188397,0.30559795,0.69440205,0.03711858,0.24310523,0.01745436,0.39509927,0.02138064,609991,0.48105143,0.77837882,0.20265977,0.57571905,-0.09466762,0.4828864868965517,0.5237599883678161,-0.040873501471264374,Asian,21673069.521816164
36,16,760306,0.75066221,0.21162333,0.56534641,0.43465359,0.02727701,0.15300889,0.00705052,0.23272589,0.02202128,613997,0.53903888,0.77869379,0.19767761,0.58101618,-0.0419773,0.5408739368965517,0.5290571183678161,0.011816818528735638,White,3053158.1678112913
37,17,760213,0.66448282,0.29070772,0.21903296,0.78096704,0.02350372,0.13004153,0.00675167,0.61920279,0.01449374,601777,0.3737751,0.72467538,0.2555355,0.46913988,-0.09536478,0.37561015689655175,0.41718081836781606,-0.04157066147126429,Asian,16639856.589241002
38,18,759555,0.65985348,0.30511024,0.26478255,0.73521745,0.03753187,0.33850353,0.00796258,0.35148635,0.03169421,595787,0.35474324,0.70963237,0.26996155,0.43967082,-0.08492758,0.35657829689655174,0.38771175836781613,-0.03113346147126437,Asian,11982763.720901527
39,19,760608,0.59688031,0.37347183,0.36017399,0.63982601,0.02813284,0.51699739,0.00819661,0.08109472,0.04688864,572676,0.22340848,0.65261621,0.32537477,0.32724144,-0.10383296,0.2252435368965517,0.27528237836781616,-0.05003884147126445,Hispanic,451240.5205777394
40,20,759782,0.32738228,0.64992156,0.49225528,0.50774472,0.04239615,0.37087959,0.00454912,0.06522362,0.0454645,561867,-0.32253928,0.35946466,0.61783557,-0.25837091,-0.06416837,-0.32070422310344826,-0.3103299716321839,-0.010374251471264341,Minority,246444.7944298143
41,21,760248,0.51800616,0.4551226,0.2478896,0.7521104,0.06478903,0.54730914,0.00415451,0.12948967,0.04193001,543024,0.06288356,0.59193601,0.38725019,0.20468582,-0.14180226,0.06471861689655173,0.15272675836781605,-0.08800814147126432,Hispanic,6244661.589273601
42,22,760190,0.46364848,0.5096968,0.18677495,0.81322505,0.05951933,0.69049216,0.00358218,0.05264521,0.0404713,544361,-0.04604832,0.5564926,0.41931733,0.13717527,-0.18322359,-0.04421326310344826,0.0852162083678161,-0.12942947147126435,Hispanic,796667.8708742771
43,23,760206,0.38926134,0.58506648,0.45378666,0.54621334,0.09436775,0.37291309,0.00751788,0.05505196,0.04418517,568245,-0.19580514,0.42488589,0.55200761,-0.12712172,-0.06868342,-0.19397008310344832,-0.1790807816321839,-0.014889301471264417,Minority,150864.31297836866
44,24,760529,0.6054659,0.36321012,0.54479181,0.45520819,0.02558482,0.33608189,0.00465535,0.07280312,0.03812159,612199,0.24225578,0.62988591,0.34634042,0.28354549,-0.04128971,0.2440908368965517,0.23158642836781615,0.012504408528735543,White,467299.99350144033
45,25,759359,0.5341225,0.44441039,0.33102439,0.66897561,0.04812359,0.56770992,0.0036294,0.04177725,0.03711623,587425,0.08971211,0.58563364,0.39655775,0.18907589,-0.09936378,0.09154716689655168,0.13711682836781605,-0.04556966147126438,Hispanic,321032.51294721273
46,26,759445,0.55166788,0.42007839,0.45587378,0.54412622,0.02711604,0.39754513,0.00527455,0.10541946,0.03491195,586590,0.13158949,0.58755109,0.39141268,0.19613841,-0.06454892,0.1334245468965517,0.14417934836781612,-0.010754801471264432,Minority,4228379.580521661
47,27,760672,0.50617852,0.46450894,0.34871329,0.65128671,0.11453524,0.43341148,0.00479897,0.09369471,0.03713808,570331,0.04166958,0.55481194,0.42275234,0.1320596,-0.09039002,0.0435046368965517,0.08010053836781608,-0.03659590147126438,Hispanic,1184786.1347343693
48,28,759688,0.60661981,0.3595105,0.17163216,0.82836784,0.0269543,0.27206985,0.00372111,0.52968124,0.02029168,622127,0.24710931,0.66488712,0.31654151,0.34834561,-0.1012363,0.2489443668965517,0.29638654836781614,-0.04744218147126442,Asian,20480225.98668369
49,29,760105,0.63531718,0.33292722,0.22283788,0.77716212,0.04906488,0.61416149,0.00320922,0.11144853,0.03663211,591421,0.30238996,0.72647432,0.25134332,0.475131,-0.17274104,0.30422501689655174,0.42317193836781614,-0.11894692147126437,Hispanic,37109766.58564483
50,30,759716,0.6860956,0.28135309,0.58861442,0.41138558,0.06099195,0.19295367,0.00350151,0.1476133,0.02015352,641724,0.40474251,0.717324,0.26470625,0.45261775,-0.04787524,0.4065775668965518,0.4006586883678161,0.0059188785287357035,White,21826783.655133236
51,31,759802,0.57032403,0.39927711,0.19977311,0.80022689,0.03508223,0.54970192,0.00397053,0.21360221,0.03617651,597653,0.17104692,0.63861611,0.34054428,0.29807183,-0.12702491,0.17288197689655171,0.24611276836781606,-0.07323079147126435,Hispanic,18625806.716528885
52,32,759469,0.63856585,0.33226889,0.57238191,0.42761809,0.05954861,0.20816501,0.00393331,0.1490023,0.01950669,619326,0.30629696,0.68893585,0.29283556,0.39610029,-0.08980333,0.30813201689655173,0.34414122836781613,-0.03600921147126438,White,9537558.573120011
53,33,760663,0.54473569,0.4259221,0.18134347,0.81865653,0.1149922,0.61037444,0.00572353,0.0897163,0.03941627,552107,0.11881359,0.63689288,0.33977035,0.29712253,-0.17830894,0.12064864689655169,0.24516346836781608,-0.12451482147126439,Hispanic,15641792.492969744
54,34,759403,0.74257074,0.21117368,0.1780579,0.8219421,0.06749161,0.51641953,0.00354892,0.23698238,0.04085161,627515,0.53139706,0.80743248,0.17030838,0.6371241,-0.10572704,0.5332321168965517,0.5851650383678161,-0.05193292147126436,Hispanic,62915469.31073053
55,35,760423,0.51067455,0.45970647,0.2336729,0.7663271,0.07517226,0.51975921,0.00533762,0.16705987,0.03576951,587903,0.05096808,0.58473868,0.39411888,0.1906198,-0.13965172,0.05280313689655169,0.13866073836781603,-0.08585760147126434,Hispanic,14786554.76001542
56,36,759444,0.65501921,0.31284304,0.57939305,0.42060695,0.0448163,0.14122355,0.00564318,0.21819301,0.01703716,631913,0.34217617,0.68970888,0.2897446,0.39996428,-0.05778811,0.34401122689655167,0.34800521836781606,-0.00399399147126437,White,28101656.960250247
57,37,760417,0.79673028,0.17107527,0.18866469,0.81133531,0.23557783,0.47372198,0.003632,0.10011995,0.03608742,597743,0.62565501,0.85784768,0.12281953,0.73502815,-0.10937314,0.6274900668965517,0.6830690883678161,-0.055579021471264346,Hispanic,54483919.56551137
58,38,760629,0.59591674,0.37256401,0.14541386,0.85458614,0.02939541,0.7199688,0.00405887,0.1027466,0.04327761,589820,0.22335273,0.67840257,0.29930923,0.37909334,-0.15574061,0.22518778689655167,0.32713427836781617,-0.10194649147126447,Hispanic,28752063.913831156
59,39,759592,0.53798094,0.43173532,0.21809415,0.78190585,0.10377052,0.594183,0.00655928,0.07648876,0.03915134,562867,0.10624562,0.62693857,0.35115112,0.27578745,-0.16954183,0.10808067689655171,0.22382838836781607,-0.11574771147126436,Hispanic,9165567.846266488
60,40,760855,0.47061523,0.49607109,0.56015753,0.43984247,0.02303249,0.20199132,0.00532943,0.19925738,0.02105918,599501,-0.02545586,0.49626554,0.48362581,0.01263973,-0.03809559,-0.02362080310344828,-0.039319331632183895,0.01569852852873562,White,6099130.501472059
61,41,759807,0.4488348,0.52203055,0.38640405,0.61359595,0.07446688,0.41338697,0.0071872,0.11160106,0.03503043,574215,-0.07319575,0.49521237,0.48568824,0.00952413,-0.08271988,-0.07136069310344828,-0.04243493163218389,-0.02892576147126439,Hispanic,2171378.9564503185
62,42,759566,0.63347891,0.33219742,0.23954368,0.76045632,0.07925988,0.56172676,0.0076959,0.11265326,0.03889816,592393,0.30128149,0.69729187,0.27893915,0.41835272,-0.11707123,0.3031165468965517,0.3663936583678161,-0.06327711147126439,Hispanic,13160341.94012662
63,43,760171,0.65534323,0.31197209,0.11089844,0.88910156,0.10665544,0.66586304,0.01098577,0.11255624,0.04125505,573651,0.34337114,0.74793652,0.22768755,0.52024897,-0.17687783,0.3452061968965518,0.46828990836781614,-0.12308371147126432,Hispanic,36653339.79288009
